26 27
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
888	888	1	1	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	999
888	888	2	2	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	999	888	888	888	888
888	888	888	888	888	888	888	888	888	888	888	888	3	888	888	888	888	888	888	888	888	888	4	888	888	888	888
888	888	5	5	888	888	888	888	888	888	888	888	999	888	888	888	888	888	888	888	888	888	999	888	888	888	888
999	999	6	6	999	999	999	999	888	888	888	888	999	999	888	888	888	888	888	999	888	999	888	888	888	888	888
999	888	7	8	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888
9	888	888	888	888	888	888	888	888	888	888	888	888	999	888	888	888	888	888	888	888	888	888	888	888	888	888
888	888	888	888	888	888	888	888	888	888	888	888	10	11	888	888	888	888	888	888	888	888	888	888	888	888	888
14	14	17	17	12	13	15	999	888	888	888	888	888	18	888	888	888	888	888	16	999	14	888	888	888	888	888
999	999	999	999	19	999	999	999	888	888	888	888	888	999	888	888	888	888	888	999	999	999	888	888	888	888	888
20	20	888	888	888	888	888	888	888	888	888	888	888	21	21	888	888	888	888	888	888	20	888	888	888	888	888
999	999	999	999	999	22	999	999	888	888	888	888	888	999	888	888	888	888	888	999	999	999	888	888	888	888	888
999	999	999	999	999	999	23	999	888	888	888	888	888	999	888	888	888	888	888	999	999	999	888	888	888	888	888
25	25	25	25	25	25	25	24	888	888	888	888	888	888	888	888	888	888	888	25	25	25	888	888	888	888	888
999	999	999	999	999	999	999	999	888	888	888	888	888	888	888	888	888	888	888	26	999	999	888	888	888	888	999
27	27	27	27	27	27	27	888	888	888	888	888	888	888	888	888	888	888	888	27	28	27	888	888	888	888	888
29	30	888	888	888	888	888	888	888	888	888	888	888	999	999	888	888	888	888	888	888	30	999	888	888	888	888
31	31	888	888	888	888	888	888	888	888	888	888	888	999	999	888	888	888	888	888	888	31	999	888	888	888	888
888	888	888	888	888	888	888	888	888	888	888	888	888	33	32	32	32	32	32	888	888	888	888	32	32	888	888
999	999	888	888	888	888	888	888	888	888	888	888	888	888	36	35	37	38	39	888	888	999	888	34	40	888	888
41	41	888	888	888	888	888	888	888	888	888	888	888	999	999	999	999	999	999	888	888	41	999	999	999	888	888
888	888	888	888	888	888	888	888	42	43	888	888	888	44	44	44	44	44	44	888	888	888	44	44	44	888	888
45	45	888	888	888	888	888	888	999	999	888	888	888	999	999	999	999	999	999	888	888	45	999	999	999	888	888
888	888	888	888	888	888	888	888	48	48	46	47	888	48	48	48	48	48	48	888	888	888	44	48	48	888	888
49	50	888	888	888	888	888	888	999	999	999	999	888	999	999	999	999	999	999	888	888	51	999	999	999	888	888
52	888	888	888	888	888	888	888	888	888	888	888	888	888	999	888	888	888	888	888	888	888	888	888	888	888	888
